1024,OXFORD NEW ENJOYING MATHEMATICS CLASS 1,JOSE PAUL,,NEWDELHI,11,YES,8,334,,2014,1,,BOOK,169,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,12,,PURCHASE,,          ,0,,,,1,
1025,OXFORD NEW ENJOYING MATHEMATICS CLASS 3,JOSE PAUL,,NEWDELHI,11,YES,8,334,,2014,1,,BOOK,222,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,12,,PURCHASE,,          ,0,,,,1,
1026,OXFORD NEW ENJOYING MATHEMATICS CLASS 3,JOSE PAUL,,NEWDELHI,11,YES,8,334,,2014,1,,BOOK,258,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,12,,PURCHASE,,          ,0,,,,1,
1027,COMPUTER WIZARD 2,RITU GULATI,,LUCKNOW,91,YES,8,3,,2011,1,,BOOK,80,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,60,,PURCHASE,,          ,0,,,,1,
1028,COMPUTER WIZARDBOOK 7,RITU GULATI,,LUCKNOW,91,YES,8,3,,0,1,,BOOK,175,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,60,,PURCHASE,,          ,0,,,,1,
1029,COMPUTER WIZARD,RITU GULATI,,LUCKNOW,91,YES,8,3,,2012,1,,BOOK,92,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,60,,PURCHASE,,          ,0,,,,1,
103,MY STUDIO CLASS 5 MATH,CHRYSALIS,,,11,YES,2,331,,2010,1,,BOOK,150,0,RUPEES,,2017-06-19 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,12,,PURCHASE,,          ,0,,,,1,
1030,COMPUTER WIZARD,RITU GULATI,,LUCKNOW,91,YES,8,3,,0,1,,BOOK,75,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,60,,PURCHASE,,          ,0,,,,1,
1031,COMPUTER WIZARD BOOKS,RITU GULATI,,LUCKNOW,91,YES,8,3,,2011,1,,BOOK,135,0,RUPEES,,2017-08-03 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,60,,PURCHASE,,          ,0,,,,1,
1032,THE ENGLISH CHANNEL A MULTI SKILLS ENGLISH COURSE 3,ILLA VIJ & MARYANN VAISOHA,,NEWDELHI,5,YES,8,327,,2014,1,,BOOK,90,0,RUPEES,,2017-08-03 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,5,,PURCHASE,,          ,0,,,,1,
1033,THE ENGLISH CHANNEL A MULTI SKILLS ENGLISH COURSE 4,ILLA VIJ & MARYANN VAISOHA,,NEWDELHI,5,YES,8,327,,2014,1,,BOOK,90,0,RUPEES,,2017-08-03 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,5,,PURCHASE,,          ,0,,,,1,
1034,THE ENGLISH CHANNEL A MULTI SKILLS ENGLISH COURSE 5,ILLA VIJ & MARYANN VAISOHA,,NEWDELHI,5,YES,8,327,,2014,1,,BOOK,60,0,RUPEES,,2017-08-03 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,5,,PURCHASE,,          ,0,,,,1,
